Date/Time,Word Count,en,pt
2023.12.28-14.57.08,1079,0,1079
2023.12.28-14.58.30,1079,728,1079
2023.12.28-15.37.35,1077,726,1077
2023.12.28-15.42.42,1027,691,1027
2023.12.28-15.47.27,841,691,841
2023.12.29-14.32.36,893,691,893
2023.12.29-15.17.00,920,727,920
2023.12.29-15.37.03,903,737,903
2023.12.29-16.13.26,997,737,997
2023.12.31-16.53.44,1002,737,1002
2023.12.31-17.20.37,1002,838,1002
2023.12.31-17.28.52,1017,838,1017
2023.12.31-17.33.24,984,841,984
2023.12.31-17.42.50,1121,844,1121
2023.12.31-17.56.40,1128,844,1128
2023.12.31-18.41.16,1192,981,1192
2023.12.31-18.57.32,1192,1046,1192
2024.01.02-12.44.24,1483,964,1483
2024.01.02-12.56.31,1483,1403,1483
2024.01.02-13.01.10,1483,1468,1483
2024.01.02-15.05.03,1486,1468,1486
2024.01.02-15.14.01,1489,1468,1489
